""	"Topic0"	"Topic1"	"Topic2"	"Topic3"	"Topic4"	"Topic5"	"Topic6"	"Topic7"	"Topic8"	"Topic9"
"1972-1976"	"0.0316117216117216"	"0.0315384615384615"	"0.566227106227106"	"0.0265201465201465"	"0.0580952380952381"	"0.0175457875457875"	"0.0295604395604396"	"0.0703663003663004"	"0.0173992673992674"	"0.15025641025641"
"1977-1981"	"0.0374566473988439"	"0.0534104046242775"	"0.566156069364162"	"0.0422543352601156"	"0.0492196531791908"	"0.0303468208092486"	"0.0282947976878613"	"0.051271676300578"	"0.0372254335260116"	"0.103236994219653"
"1982-1986"	"0.0258734939759036"	"0.0559638554216867"	"0.449156626506024"	"0.059578313253012"	"0.0414759036144578"	"0.0271385542168675"	"0.0506024096385542"	"0.0643072289156627"	"0.0251204819277108"	"0.199819277108434"
"1987-1991"	"0.0394605809128631"	"0.166639004149378"	"0.139792531120332"	"0.0525726141078838"	"0.0995020746887967"	"0.0376348547717842"	"0.102323651452282"	"0.188215767634855"	"0.0910373443983403"	"0.0819502074688797"
"1992-1996"	"0.11153024911032"	"0.198220640569395"	"0.0769395017793594"	"0.112099644128114"	"0.0773309608540925"	"0.0880782918149466"	"0.0675444839857651"	"0.133024911032028"	"0.042135231316726"	"0.0870818505338078"
"1997-2001"	"0.218258258258258"	"0.153153153153153"	"0.0678978978978979"	"0.0762162162162162"	"0.0669369369369369"	"0.0623123123123123"	"0.135525525525526"	"0.105645645645646"	"0.05003003003003"	"0.0612012012012012"
"2002-2006"	"0.0771679197994987"	"0.132355889724311"	"0.0697744360902256"	"0.113634085213033"	"0.0866666666666667"	"0.13"	"0.139197994987469"	"0.103759398496241"	"0.0721303258145363"	"0.0744611528822055"
"2007-2011"	"0.0917073170731707"	"0.130130081300813"	"0.0490406504065041"	"0.075609756097561"	"0.0668617886178862"	"0.114341463414634"	"0.235447154471545"	"0.0931869918699187"	"0.0772032520325203"	"0.0660650406504065"
"2012-2016"	"0.0873534072900159"	"0.122741679873217"	"0.0500792393026941"	"0.0843740095087163"	"0.0614738510301109"	"0.113851030110935"	"0.234944532488114"	"0.0929952456418384"	"0.0738193343898574"	"0.077797147385103"
"2017-2021"	"0.0927708703374778"	"0.127158081705151"	"0.0362699822380107"	"0.102948490230906"	"0.0796802841918295"	"0.0890586145648313"	"0.213747779751332"	"0.0998756660746004"	"0.0789342806394316"	"0.0786678507992895"
