"timebin"	"Topic0"	"Topic1"	"Topic2"	"Topic3"	"Topic4"	"Topic5"	"Topic6"	"Topic7"	"Topic8"	"Topic9"
"1972-1976"	"0.0588"	"0.06475"	"0.0774432432432432"	"0.0972"	"0.0845714285714286"	"NaN"	"0.0594"	"0.07575"	"0.0725"	"0.0873513513513514"
"1977-1981"	"0.0742857142857143"	"0.0667777777777778"	"0.0809152542372881"	"0.0775"	"0.0742727272727273"	"0.08825"	"0.0563333333333333"	"0.0667857142857143"	"0.0678461538461538"	"0.0924666666666667"
"1982-1986"	"0.0741428571428571"	"0.0630714285714286"	"0.0864071856287425"	"0.086421052631579"	"0.0725384615384615"	"0.074625"	"0.0594375"	"0.08245"	"0.0595"	"0.0926612903225807"
"1987-1991"	"0.0667142857142857"	"0.0630975609756098"	"0.0867037037037037"	"0.078"	"0.0781904761904762"	"0.082"	"0.0599032258064516"	"0.0717659574468085"	"0.0661666666666667"	"0.0841428571428571"
"1992-1996"	"0.0714324324324324"	"0.0722857142857143"	"0.0795"	"0.10340625"	"0.0805"	"0.0914838709677419"	"0.0751176470588235"	"0.0806666666666667"	"0.0764444444444444"	"0.0952727272727273"
"1997-2001"	"0.0473372093023256"	"0.0462173913043478"	"0.0708421052631579"	"0.0658695652173913"	"0.0528333333333333"	"0.0563913043478261"	"0.0416938775510204"	"0.0516216216216216"	"0.0754666666666667"	"0.0803529411764706"
"2002-2006"	"0.0543333333333333"	"0.0547017543859649"	"0.0839444444444444"	"0.0885"	"0.0615806451612903"	"0.08385"	"0.0688125"	"0.0794210526315789"	"0.0735757575757576"	"0.0983913043478261"
"2007-2011"	"0.0730701754385965"	"0.0702337662337662"	"0.0846"	"0.0984666666666667"	"0.07821875"	"0.082"	"0.0668529411764706"	"0.0749818181818182"	"0.0701551724137931"	"0.0974571428571429"
"2012-2016"	"0.0697142857142857"	"0.0723"	"0.0801153846153846"	"0.0905471698113208"	"0.0717241379310345"	"0.0828684210526316"	"0.0671913580246914"	"0.0781694915254237"	"0.0642857142857143"	"0.0967291666666667"
"2017-2021"	"0.0661162790697674"	"0.0674342105263158"	"0.0792"	"0.0845967741935484"	"0.0714444444444444"	"0.0793541666666667"	"0.0657071428571429"	"0.0793035714285714"	"0.0618846153846154"	"0.09555"
